Торговый код ценной бумаги;Краткое наименование эмитента ценной бумаги;Категория ценной бумаги (ао - акция обыкновенная, ап - акция привилегированная);"Государственный
регистрационный
номер выпуска
(дополнительного
выпуска)*";Объем выпуска, штук;Рыночная цена (3) на 30.09.2024, руб.;Капитализация, руб.;;;;
PAZA;"ПАО ""Павловский автобус""";ао;1-02-00261-A;1 567 904;9860;15 459 533 440,00;;;;
PHOR;"ПАО ""ФосАгро""";ао;1-02-06556-A;129 500 000;5418;701 631 000 000,00;;;;
PIKK;"ПАО ""ПИК СЗ""";ао;1-02-01556-A;660 497 344;654,3;432 163 412 179,20;;;;
PLZL;"ПАО ""Полюс""";ао;1-01-55192-E;136 069 400;13352;1 816 798 628 800,00;;;;
PMSB;"ПАО ""Пермэнергосбыт""";ао;1-01-55084-E;36 210 960;245,3;8 882 548 488,00;;;;
PMSBP;"ПАО ""Пермэнергосбыт""";ап;2-01-55084-E;11 353 500;292,8;3 324 304 800,00;;;;
POLY;Solidcore Resources plc;ао;JE00B6T5S470;528 734 657;254;134 298 602 878,00;;;;
POSI;"ПАО ""Группа Позитив""";ао;1-01-85307-H;66 000 000;2658,2;175 441 200 000,00;;;;
PRFN;"ПАО ""ЧЗПСН-Профнастил""";ао;1-01-45194-D;838 287 450;5,86;4 912 364 457,00;;;;
PRMB;"ПАО АКБ ""Приморье""";ао;10103001B;250 000;30200;7 550 000 000,00;;;;
PRMD;"ПАО ""ПРОМОМЕД""";ао;1-01-01622-G;200 000 000;384,35;76 870 000 000,00;;;;
RASP;"ПАО ""Распадская""";ао;1-04-21725-N;665 733 918;303,8;202 249 964 288,40;;;;
RBCM;"ПАО ""ГК РБК""";ао;1-02-56413-H;365 631 010;14,635;5 351 009 831,35;;;;
RDRB;"ПАО ""РосДорБанк""";ао;10201573B;23 892 735;156,5;3 739 213 027,50;;;;
RENI;"ПАО ""Группа Ренессанс Страхование""";ао;1-01-10601-Z;556 952 780;98,68;54 960 100 330,40;;;;
RGSS;"ПАО СК ""Росгосстрах""";ао;1-03-10003-Z;489 503 740 915;0,266;130 207 995 083,39;;;;
RKKE;"ПАО ""РКК ""Энергия""";ао;1-03-01091-A;1 807 401;19870;35 913 057 870,00;;;;
RNFT;"ПАО НК ""РуссНефть""";ао;1-02-39134-H;294 120 000;164,4;48 353 328 000,00;;;;
ROLO;"ПАО ""Русолово""";ао;1-01-15065-A;30 001 000 000;0,7378;22 134 737 800,00;;;;
ROSB;ПАО РОСБАНК;ао;10102272B;1 551 401 853;124,2;192 684 110 142,60;;;;
ROSN;"ПАО ""НК ""Роснефть""";ао;1-02-00122-A;10 598 177 817;510,8;5 413 549 228 923,60;;;;
ROST;"ПАО ""РОСИНТЕР РЕСТОРАНТС ХОЛДИНГ""";ао;1-02-55033-E;16 305 334;131,2;2 139 259 820,80;;;;
RTGZ;"ПАО ""Газпром газораспределение Ростов-на-Дону""";ао;1-02-30742-E;120 246;35100;4 220 634 600,00;;;;
RTKM;"ПАО ""Ростелеком""";ао;1-01-00124-A;3 282 997 929;76,81;252 167 070 926,49;;;;
RTKMP;"ПАО ""Ростелеком""";ап;2-01-00124-A;209 565 147;70,9;14 858 168 922,30;;;;
RTSB;"ПАО ""ТНС энерго Ростов-на-Дону""";ао;1-01-50095-A;8 128 764 676;3,11;25 280 458 142,36;;;;
RTSBP;"ПАО ""ТНС энерго Ростов-на-Дону""";ап;2-01-50095-A;925 737 256;2,01;1 860 731 884,56;;;;
RUAL;"МКПАО ""ОК РУСАЛ""";ао;1-01-16677-A;15 193 014 862;34,945;530 919 904 352,59;;;;
RUSI;"ПАО ""ИК РУСС-ИНВЕСТ""";ао;1-01-00409-A;109 000 000;86,9;9 472 100 000,00;;;;
RZSB;"ПАО ""РЭСК""";ао;1-01-50092-A;206 940 220;32,44;6 713 140 736,80;;;;
SAGO;"ПАО ""Самараэнерго""";ао;1-02-00127-A;3 538 928 532;3,01;10 652 174 881,32;;;;
SAGOP;"ПАО ""Самараэнерго""";ап;2-02-00127-A;521 993 080;3,035;1 584 248 997,80;;;;
SARE;"ПАО ""Саратовэнерго""";ао;1-02-00132-A;4 865 127 996;0,496;2 413 103 486,02;;;;
SAREP;"ПАО ""Саратовэнерго""";ап;2-02-00132-A;1 493 316 000;0,275;410 661 900,00;;;;
SBER;ПАО Сбербанк;ао;10301481B;21 586 948 000;270,8;5 845 745 518 400,00;;;;
SBERP;ПАО Сбербанк;ап;20301481B;1 000 000 000;270,45;270 450 000 000,00;;;;
SELG;"ПАО ""Селигдар""";ао;1-01-32694-F;1 030 000 000;58,53;60 285 900 000,00;;;;
SFIN;"ПАО ""ЭсЭфАй""";ао;1-02-56453-P;50 237 005;1325,8;66 604 221 229,00;;;;
SGZH;"ПАО ""Сегежа Групп""";ао;1-01-87154-H;15 690 000 000;1,586;24 884 340 000,00;;;;
SIBN;"ПАО ""Газпром нефть""";ао;1-01-00146-A;4 741 299 639;709,3;3 363 003 833 942,70;;;;
SLEN;"ПАО ""Сахалинэнерго""";ао;1-03-00272-A;1 237 175 444;3,89;4 812 612 477,16;;;;
SMLT;"ПАО ""ГК ""Самолет""";ао;1-01-16493-A;61 579 358;1969;121 249 755 902,00;;;;
SNGS;"ПАО ""Сургутнефтегаз""";ао;1-01-00155-A;35 725 994 705;25,08;896 007 947 201,40;;;;
SNGSP;"ПАО ""Сургутнефтегаз""";ап;2-01-00155-A;7 701 998 235;55,14;424 688 182 677,90;;;;
SOFL;"ПАО ""Софтлайн""";ао;1-01-45848-H;324 000 000;140,72;45 593 280 000,00;;;;
SPBE;"ПАО ""СПБ Биржа""";ао;1-01-55439-E;132 843 907;131,5;17 468 973 770,50;;;;
STSB;"ПАО ""Ставропольэнергосбыт""";ао;1-01-50119-A;859 074 636;2,915;2 504 202 563,94;;;;
STSBP;"ПАО ""Ставропольэнергосбыт""";ап;2-01-50119-A;262 100 364;3,018;791 018 898,55;;;;
SVAV;"ПАО ""СОЛЛЕРС""";ао;1-01-02461-D;31 486 001;833;26 227 838 833,00;;;;
SVCB;"ПАО ""Совкомбанк""";ао;10100963B;20 693 945 875;14,03;290 336 060 626,25;;;;
SVET;"ПАО ""Светофор Групп""";ао;1-01-24350-J;22 333 500;21,35;476 820 225,00;;;;
SVETP;"ПАО ""Светофор Групп""";ап;2-01-24350-J;2 481 500;30,95;76 802 425,00;;;;
TASB;"ПАО ""Тамбовская энергосбытовая компания""";ао;1-01-65100-D;1 525 986 880;1,63;2 487 358 614,40;;;;
TASBP;"ПАО ""Тамбовская энергосбытовая компания""";ап;2-01-65100-D;217 961 420;0,87;189 626 435,40;;;;
TATN;"ПАО ""Татнефть"" им. В.Д. Шашина";ао;1-03-00161-A;2 178 690 700;645,7;1 406 780 584 990,00;;;;
TATNP;"ПАО ""Татнефть"" им. В.Д. Шашина";ап;2-03-00161-A;147 508 500;643,3;94 892 218 050,00;;;;
T;"МКПАО ""ТКС Холдинг""";ао;1-01-16784-A;199 305 492;2664,5;531 049 483 434,00;;;;
